transaction_id,customer_id,amount,transaction_type,country,device_type,is_fraud,timestamp
TXN_100000,8270.0,3441.71,pos,Canada,desktop,0,2025-07-10 09:52:52
TXN_100001,1860.0,-9999.0,atm_withdrawal,Germany,mobile,0,2025-11-17 23:58:52
TXN_100002,6390.0,4335.01,pos,,tablet,0,2025-02-14 19:37:52
TXN_100003,6191.0,4193.21,bank_transfer,India,mobile,0,2025-03-10 21:18:52
TXN_100004,6734.0,2133.33,pos,India,mobile,0,2025-02-23 04:12:52
TXN_100005,7265.0,1116.77,pos,Germany,desktop,0,2025-06-20 00:58:52
TXN_100006,1466.0,1986.27,online,Germany,mobile,0,2025-10-13 04:26:52
TXN_100007,5426.0,4460.03,online,Germany,tablet,0,2025-09-03 16:10:52
TXN_100008,,737.29,pos,Canada,tablet,0,2025-04-11 09:29:52
TXN_100009,9322.0,2569.06,atm_withdrawal,Germany,tablet,0,2025-12-01 09:40:52
TXN_100010,2685.0,1169.97,online,UK,tablet,0,2025-01-19 22:53:52
TXN_100011,1769.0,2908.62,atm_withdrawal,USA,desktop,0,2025-04-19 06:32:52
TXN_100012,7949.0,4316.38,pos,Germany,mobile,0,2025-07-26 10:32:52
TXN_100013,3433.0,4402.4,pos,USA,,0,2025-02-19 13:20:52
TXN_100014,,1187.24,bank_transfer,Canada,mobile,0,2025-07-12 00:10:52
TXN_100015,6051.0,4538.93,online,USA,mobile,0,2025-09-04 10:38:52
TXN_100016,7420.0,2961.48,pos,Canada,mobile,0,2025-09-03 11:06:52
TXN_100017,2184.0,,bank_transfer,UK,desktop,0,2025-05-25 03:40:52
TXN_100018,5555.0,3542.37,online,,mobile,0,2025-11-13 00:45:52
TXN_100019,4385.0,2410.93,pos,Canada,desktop,0,2025-11-07 01:55:52
TXN_100020,7396.0,,pos,,tablet,0,2025-10-08 21:23:52
TXN_100021,9666.0,3526.9,online,,tablet,0,2025-03-10 21:15:52
TXN_100022,3558.0,,online,Germany,mobile,0,2025-04-03 21:01:52
TXN_100023,8849.0,1654.61,online,UK,,0,2025-11-18 06:01:52
TXN_100024,3047.0,2175.09,pos,UK,tablet,0,2025-02-20 16:51:52
TXN_100025,,,pos,Germany,desktop,0,2025-10-06 01:54:52
TXN_100026,1189.0,2028.98,bank_transfer,India,desktop,0,2025-07-22 05:17:52
TXN_100027,3734.0,2859.51,atm_withdrawal,Germany,mobile,0,2025-10-18 12:46:52
TXN_100028,4005.0,3706.16,online,India,tablet,0,2025-11-07 06:35:52
TXN_100029,5658.0,-9999.0,pos,UK,mobile,0,2025-08-24 15:28:52
TXN_100030,2899.0,4114.84,UNKNOWN,USA,,0,2025-10-15 22:33:52
TXN_100031,8734.0,3722.34,online,UK,tablet,0,2025-10-02 07:19:52
TXN_100032,2267.0,3406.79,atm_withdrawal,,tablet,0,2025-02-03 07:05:52
TXN_100033,2528.0,1191.34,online,Canada,,0,2025-09-30 15:13:52
TXN_100034,4556.0,2004.11,atm_withdrawal,Canada,tablet,0,2025-10-23 23:24:52
TXN_100035,4890.0,2391.19,pos,Canada,desktop,0,2025-02-04 18:51:52
TXN_100036,9838.0,,atm_withdrawal,Canada,desktop,0,2025-10-05 12:45:52
TXN_100037,6393.0,2644.21,bank_transfer,India,desktop,0,2025-10-13 04:34:52
TXN_100038,,2184.5,pos,Germany,tablet,0,2025-12-20 22:27:52
TXN_100039,,4011.54,bank_transfer,USA,mobile,0,INVALID_DATE
TXN_100040,8513.0,4889.61,online,,desktop,0,2025-12-02 03:47:52
TXN_100041,3612.0,,online,India,,1,2025-04-12 03:58:52
TXN_100042,8041.0,1616.82,online,USA,mobile,1,2025-04-17 20:54:52
TXN_100043,7235.0,221.79,atm_withdrawal,India,tablet,0,2025-05-16 13:04:52
TXN_100044,6486.0,,pos,India,mobile,0,2025-11-08 08:48:52
TXN_100045,8099.0,4595.98,online,,mobile,0,2025-09-14 03:33:52
TXN_100046,1775.0,1268.69,online,Germany,tablet,0,2025-03-18 04:56:52
TXN_100047,9226.0,3478.58,pos,Canada,desktop,0,2025-09-27 05:09:52
TXN_100048,4152.0,381.8,online,Germany,mobile,0,2025-02-15 06:58:52
TXN_100049,2585.0,835.25,bank_transfer,UK,tablet,0,2025-02-13 12:48:52
TXN_100050,4943.0,1087.96,pos,UK,,0,2025-07-29 01:52:52
TXN_100051,8555.0,1476.0,UNKNOWN,UK,mobile,0,2025-12-01 00:50:52
TXN_100052,4073.0,4979.18,pos,USA,desktop,0,2025-09-30 23:59:52
TXN_100053,2021.0,3486.14,bank_transfer,Germany,mobile,0,2025-05-10 04:45:52
TXN_100054,4843.0,1924.09,pos,Germany,tablet,0,2025-02-17 09:05:52
TXN_100055,8989.0,,bank_transfer,India,mobile,0,2025-05-22 14:32:52
TXN_100056,7873.0,4576.7,pos,India,desktop,0,2025-11-26 07:20:52
TXN_100057,6675.0,4793.72,atm_withdrawal,India,desktop,0,2025-02-19 03:39:52
TXN_100058,1161.0,294.03,online,UK,tablet,0,2025-05-30 16:17:52
TXN_100059,5297.0,,atm_withdrawal,Germany,desktop,0,2025-02-18 21:31:52
TXN_100060,1995.0,538.25,online,UK,mobile,0,2025-02-03 18:07:52
TXN_100061,,1681.62,bank_transfer,USA,desktop,0,2025-03-05 12:58:52
TXN_100062,2016.0,852.55,atm_withdrawal,India,tablet,1,2025-08-18 23:11:52
TXN_100063,8869.0,3236.01,pos,UK,desktop,0,2025-02-20 02:44:52
TXN_100064,7439.0,1944.4,online,UK,desktop,0,2025-07-30 09:03:52
TXN_100065,8892.0,1150.83,online,,desktop,0,2025-06-01 08:23:52
TXN_100066,7863.0,1333.36,atm_withdrawal,Canada,tablet,0,2025-12-05 16:14:52
TXN_100067,8916.0,1804.92,bank_transfer,Germany,,0,2025-03-30 17:53:52
TXN_100068,9529.0,1303.45,atm_withdrawal,Canada,desktop,0,2025-03-23 20:53:52
TXN_100069,1878.0,2268.94,bank_transfer,,mobile,0,2025-07-12 16:18:52
TXN_100070,,,bank_transfer,UK,tablet,0,2025-12-16 19:01:52
TXN_100071,5859.0,1402.42,online,USA,desktop,0,2025-10-13 10:40:52
TXN_100072,7331.0,2058.98,atm_withdrawal,USA,tablet,0,2025-02-21 03:02:52
TXN_100073,9571.0,3015.9,atm_withdrawal,,desktop,0,2025-08-14 04:20:52
TXN_100074,9684.0,1358.43,bank_transfer,Canada,desktop,0,2025-04-06 09:02:52
TXN_100075,8208.0,670.26,atm_withdrawal,Germany,desktop,0,INVALID_DATE
TXN_100076,6276.0,,pos,UK,mobile,0,2025-09-10 08:50:52
TXN_100077,3062.0,4702.96,pos,,,0,2025-09-04 05:23:52
TXN_100078,1064.0,2086.11,atm_withdrawal,USA,mobile,0,2025-08-11 12:18:52
TXN_100079,,2907.91,atm_withdrawal,USA,tablet,0,2025-03-22 06:09:52
TXN_100080,3568.0,4596.29,bank_transfer,India,tablet,0,2025-06-17 22:42:52
TXN_100081,6463.0,418.33,pos,India,mobile,0,2025-03-03 20:49:52
TXN_100082,3027.0,4383.92,pos,UK,tablet,0,2025-06-05 12:20:52
TXN_100083,3695.0,2760.18,online,Canada,desktop,1,2025-01-30 06:18:52
TXN_100084,,828.35,bank_transfer,Germany,desktop,0,2025-03-27 11:54:52
TXN_100085,6618.0,2059.22,online,UK,desktop,0,2025-04-29 09:47:52
TXN_100086,7736.0,3889.12,pos,,mobile,0,2025-10-16 21:04:52
TXN_100087,1391.0,2404.45,bank_transfer,Germany,tablet,0,2025-05-21 20:26:52
TXN_100088,,4926.5,atm_withdrawal,India,,0,2025-11-16 07:09:52
TXN_100089,,-9999.0,bank_transfer,Germany,tablet,0,2025-08-30 09:20:52
TXN_100090,7184.0,3749.14,atm_withdrawal,Canada,desktop,0,2025-06-10 04:37:52
TXN_100091,4099.0,,atm_withdrawal,,mobile,0,2025-12-02 13:06:52
TXN_100092,7278.0,4146.68,bank_transfer,Germany,tablet,0,2025-09-06 05:30:52
TXN_100093,9392.0,2847.56,UNKNOWN,USA,tablet,0,2025-10-02 00:06:52
TXN_100094,,322.24,online,USA,desktop,0,2025-06-28 19:42:52
TXN_100095,8215.0,188.93,pos,Germany,mobile,0,2025-10-19 15:22:52
TXN_100096,,673.59,atm_withdrawal,Germany,mobile,0,2025-11-26 07:19:52
TXN_100097,9996.0,,online,Germany,mobile,0,2025-04-16 19:12:52
TXN_100098,3731.0,381.42,atm_withdrawal,USA,desktop,0,2025-08-05 17:35:52
TXN_100099,9154.0,3460.11,pos,USA,mobile,0,2025-05-20 17:39:52
TXN_100100,6056.0,2674.06,online,Germany,desktop,0,INVALID_DATE
